"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 30 11:51:11 IST 2023","Mon Oct 30 11:51:11 IST 2023","23","Default suite","Default test","com.bellatrix.runnerclass.RunnerCartPage$RunnerHomePage","com.bellatrix.runnerclass.RunnerCartPage$RunnerHomePage","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 03 19:34:34 IST 2023","Fri Nov 03 19:34:36 IST 2023","1631","Default suite","Default test","com.api.runner.RunnerApi","com.api.runner.RunnerApi","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 10 22:26:10 IST 2023","Fri Nov 10 22:26:36 IST 2023","25733","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","14","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 03 16:09:19 IST 2023","Fri Nov 03 16:10:19 IST 2023","59751","Default suite","Default test","com.bellatrix.runnerclass.RunnerContactPage","com.bellatrix.runnerclass.RunnerContactPage","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 06:55:36 IST 2023","Mon Oct 30 06:55:49 IST 2023","12906","Default suite","Default test","runnerclass.RunnerClassForBellatrix","runnerclass.RunnerClassForBellatrix","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","14","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","20","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 10 22:27:15 IST 2023","Fri Nov 10 22:27:30 IST 2023","14855","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 06:56:59 IST 2023","Mon Oct 30 06:57:14 IST 2023","15933","Default suite","Default test","runnerclass.RunnerClassForBellatrix","runnerclass.RunnerClassForBellatrix","runScenario","Runs Cucumber Scenarios",""
"broken","Mon Oct 30 13:18:33 IST 2023","Mon Oct 30 13:18:33 IST 2023","7","Default suite","Default test","com.bellatrix.runnerclass.RunnerCartPage","com.bellatrix.runnerclass.RunnerCartPage","setUpClass","setUpClass",""
"broken","Fri Nov 10 22:25:43 IST 2023","Fri Nov 10 22:25:58 IST 2023","15124","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 06:53:12 IST 2023","Mon Oct 30 06:53:38 IST 2023","25730","Default suite","Default test","runnerclass.RunnerClassForBellatrix","runnerclass.RunnerClassForBellatrix","runScenario","Runs Cucumber Scenarios",""
